member_id,first_name,last_name,store_id,reg_date
1001,Jacob,SMITH,1,06-19-2018
1002,Jayden,JOHNSON,1,06-26-2018
1003,Daniel,WILLIAMS,2,10-22-2018
1004,Ethan,BROWN,3,07-19-2018
1005,Matthew,JONES,2,03-26-2018
1006,Noah,GARCIA,3,04-22-2018
1007,Anthony,MILLER,3,06-25-2018
1008,Alexander,DAVIS,1,06-11-2018
1009,Nathan,RODRIGUEZ,3,11-25-2018
1010,David,MARTINEZ,3,03-14-2018
1011,Andrew,HERNANDEZ,2,02-10-2018
1012,Aiden,LOPEZ,1,08-13-2018
1013,Michael,GONZALEZ,3,12-24-2018
1014,Angel,WILSON,2,08-28-2018
1015,Isaac,ANDERSON,1,12-24-2018
1016,Julian,THOMAS,3,10-19-2018
1017,Mason,TAYLOR,1,02-16-2018
1018,Adrian,MOORE,3,07-17-2018
1019,Jonathan,JACKSON,3,09-12-2018
1020,Christopher,MARTIN,1,02-11-2018
1021,Joshua,LEE,1,05-12-2018
1022,Benjamin,PEREZ,1,09-15-2018
1023,Joseph,THOMPSON,1,03-16-2018
1024,Liam,WHITE,1,10-22-2018
1025,Jose,HARRIS,1,12-21-2018
1026,Dylan,SANCHEZ,1,09-15-2018
1027,Aaron,CLARK,2,01-21-2018
1028,Elijah,RAMIREZ,2,11-18-2018
1029,Ryan,LEWIS,3,04-26-2018
1030,Sebastian,ROBINSON,1,10-15-2018
1031,William,WALKER,3,12-19-2018
1032,Logan,YOUNG,1,05-17-2018
1033,Christian,ALLEN,1,12-20-2018
1034,Gabriel,KING,3,02-16-2018
1035,Brandon,WRIGHT,3,10-10-2018
1036,Samuel,SCOTT,3,04-25-2018
1037,Damian,TORRES,1,05-26-2018
1038,James,NGUYEN,2,12-22-2018
1039,Isaiah,HILL,3,03-19-2018
1040,Kevin,FLORES,1,07-10-2018
1041,Lucas,GREEN,2,09-21-2018
1042,Sophia,ADAMS,2,09-13-2018
1043,Isabella,NELSON,3,10-21-2018
1044,Emma,BAKER,3,01-12-2018
1045,Emily,HALL,3,01-22-2018
1046,Mia,RIVERA,3,02-20-2018
1047,Olivia,CAMPBELL,2,05-24-2018
1048,Sofia,MITCHELL,3,08-12-2018
1049,Abigail,CARTER,1,09-18-2018
1050,Samantha,ROBERTS,1,05-20-2018
1051,Camila,PHILLIPS,3,05-10-2018
1052,Ava,EVANS,1,10-24-2018
1053,Victoria,TURNER,1,09-15-2018
1054,Natalie,DIAZ,3,10-22-2018
1055,Chloe,PARKER,1,03-24-2018
1056,Elizabeth,CRUZ,1,09-10-2018
1057,Evelyn,EDWARDS,1,10-16-2018
1058,Genesis,COLLINS,1,03-19-2018
1059,Ashley,REYES,1,01-18-2018
1060,Madison,STEWART,2,04-24-2018
1061,Zoe,MORRIS,3,12-26-2018
1062,Charlotte,MORALES,1,04-28-2018
1063,Hailey,MURPHY,3,08-23-2018
1064,Melanie,COOK,3,05-13-2018
1065,Audrey,ROGERS,1,02-16-2018
1066,Kimberly,GUTIERREZ,1,01-28-2018
1067,Alexa,ORTIZ,2,12-19-2018
1068,Alyssa,MORGAN,3,12-16-2018
1069,Allison,COOPER,1,03-28-2018
1070,Aubrey,PETERSON,2,11-21-2018
1071,Zoey,BAILEY,3,03-11-2018
1072,Ella,REED,1,01-21-2018
1073,Grace,KELLY,2,02-26-2018
1074,Lily,HOWARD,1,10-14-2018
1075,Bella,RAMOS,3,05-24-2018
1076,Kaylee,KIM,2,06-27-2018
1077,Leah,COX,1,04-24-2018
1078,Andrea,WARD,1,05-25-2018
1079,Aaliyah,RICHARDSON,1,07-24-2018
1080,Brianna,WATSON,3,01-18-2018
1081,Hannah,BROOKS,1,05-21-2018
1082,Scarlett,CHAVEZ,1,09-15-2018
1083,Jacob,WOOD,1,04-18-2018
1084,Jayden,JAMES,1,05-26-2018
1085,Daniel,BENNETT,1,02-15-2018
1086,Ethan,GRAY,1,08-19-2018
1087,Matthew,MENDOZA,3,03-11-2018
1088,Noah,RUIZ,1,07-16-2018
1089,Anthony,HUGHES,3,04-14-2018
1090,Alexander,PRICE,2,12-22-2018
1091,Nathan,ALVAREZ,1,12-24-2018
1092,David,CASTILLO,1,10-26-2018
1093,Andrew,SANDERS,1,05-20-2018
1094,Aiden,PATEL,1,10-10-2018
1095,Michael,MYERS,2,12-15-2018
1096,Angel,LONG,2,10-22-2018
1097,Isaac,ROSS,1,12-18-2018
1098,Julian,FOSTER,1,03-14-2018
1099,Mason,JIMENEZ,1,02-24-2018
1100,Adrian,POWELL,2,09-22-2018
